Date,Month,DayOfWeek,Time_Index,Month_Sin,Month_Cos,DayOfWeek_Sin,DayOfWeek_Cos,Forecasted_Sales
2026-01-01,1,3,1826,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,566862.63
2026-01-02,1,4,1827,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,569016.84
2026-01-03,1,5,1828,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,570761.79
2026-01-04,1,6,1829,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,570979.83
2026-01-05,1,0,1830,0.49999999999999994,0.8660254037844387,0.0,1.0,569703.12
2026-01-06,1,1,1831,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,568089.39
2026-01-07,1,2,1832,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,567550.16
2026-01-08,1,3,1833,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,568687.82
2026-01-09,1,4,1834,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,570842.03
2026-01-10,1,5,1835,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,572586.97
2026-01-11,1,6,1836,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,572805.01
2026-01-12,1,0,1837,0.49999999999999994,0.8660254037844387,0.0,1.0,571528.3
2026-01-13,1,1,1838,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,569914.57
2026-01-14,1,2,1839,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,569375.34
2026-01-15,1,3,1840,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,570513.0
2026-01-16,1,4,1841,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,572667.21
2026-01-17,1,5,1842,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,574412.15
2026-01-18,1,6,1843,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,574630.19
2026-01-19,1,0,1844,0.49999999999999994,0.8660254037844387,0.0,1.0,573353.48
2026-01-20,1,1,1845,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,571739.76
2026-01-21,1,2,1846,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,571200.53
2026-01-22,1,3,1847,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,572338.18
2026-01-23,1,4,1848,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,574492.39
2026-01-24,1,5,1849,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,576237.33
2026-01-25,1,6,1850,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,576455.37
2026-01-26,1,0,1851,0.49999999999999994,0.8660254037844387,0.0,1.0,575178.67
2026-01-27,1,1,1852,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,573564.94
2026-01-28,1,2,1853,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,573025.71
2026-01-29,1,3,1854,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,574163.37
2026-01-30,1,4,1855,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,576317.58
2026-01-31,1,5,1856,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,578062.52
2026-02-01,2,6,1857,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,586800.77
2026-02-02,2,0,1858,0.8660254037844386,0.5000000000000001,0.0,1.0,585524.06
2026-02-03,2,1,1859,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,583910.33
